Table 1
Grant Activity,,,,,,,,,,,,,,,,,,,
Beloved In Christ,,,,,,,,,,,,,,,,,,,
Transaction ID,Charity,Charity Address,Grant Status,Contact Person,Grant Letter,Grant Type,Amount,Foreign Currency Amount,Currency,Recommendation Submitted Date,Requested Payment Date,Sent Date,Recommended By,Recognition,Grant Purpose,Special Note,Cleared Date,Check Number / Payment ID,EIN
3593081,Begin Again Foundation,"P.O. BOX 6029  , VIRGINIA BCH, VA 23456",Payment Cleared,,No,Single,"40,000.00",0.00,USD,4/18/19,4/18/19,5/2/19,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Unrestricted gift.,*,5/2/19,306162,47-5223416
3593082,Faith Academy of Marble Falls,"P.O. Box 1240 , Marble Falls, TX 78654",Payment Cleared,,No,Single,"100,000.00",0.00,USD,4/18/19,4/18/19,4/26/19,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Unrestricted gift.,,4/26/19,306163,74-2888658
3779582,Young Life,"P.O. Box 70065  , Prescott, AZ 86304-7065",Payment Cleared,Mario Ornelas,No,Single,"100,000.00",0.00,USD,7/31/19,7/31/19,8/5/19,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,"Gift to support the Young Life Tuckee/Tahoe Budget, CA576.",ID number referenced in the grant purpose is used internally by the charity for record-keeping purposes.,8/5/19,311105,84-0385934
9836876,Young Life,"PO Box 5184 Harlan, IA 51593-0684",Payment Cleared,,Yes,Single,"425,000.00",0.00,USD,11/18/24,11/18/24,11/21/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Support for Young Life International (XD227),ID number referenced in the Grant Purpose is used internally by the charity for record-keeping purposes.,11/21/24,504580,84-0385934
4266376,He Touched Me Ministries,"P.O. Box 13832  , Maumelle, AR 72113",Payment Cleared,Mayaba Chongoo,No,Single,"12,000.00",0.00,USD,2/11/20,2/11/20,2/19/20,Beloved In Christ Fund and Mr. Lewis Karl Cirne,In Recognition of Beloved in Christ Foundation,Unrestricted gift,,2/19/20,324529,30-0642828
5858707,"Part of the Solution, Inc.","2759 Webster Avenue  , Bronx, NY 10458",Payment Cleared,,Yes,Single,"10,000.00",0.00,USD,9/30/21,10/1/21,10/4/21,Beloved In Christ Fund,None,Unrestricted gift,,10/27/21,76347,13-3425071
7749288,Young Life,"PO Box 5184 Harlan, IA 51593-0684",Payment Cleared,,Yes,Single,"50,000.00",0.00,USD,5/2/23,5/3/23,5/9/23,"Beloved In Christ Fund and 89 Applehead Island Drive Horseshoe Bay, TX 78657",None,Donation for CA576 Operations - Young Life Tahoe/Truckee. Recommended by the Beloved in Christ Fund,,5/9/23,430466,84-0385934
9836879,Luis Palau Evangelistic Association,"PO Box 50 Portland, OR 97207",Payment Cleared,,Yes,Single,"450,000.00",0.00,USD,11/18/24,11/18/24,11/25/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support,,11/25/24,504584,93-0713827
9836880,"CURE International, Inc.","70 Ionia Ave SW Ste 200 , Grand Rapids, MI 49503",Payment Cleared,,Yes,Single,"650,000.00",0.00,USD,11/18/24,11/18/24,11/21/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support,,11/21/24,504585,58-2248383
6690730,Young Life,"P.O. Box 520 Colorado Springs, CO 80901",Payment Cleared,,Yes,Single,"15,000.00",0.00,USD,6/3/22,6/4/22,6/9/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Donation to support YL Marble Falls TX170,Marble Falls is a location of the grantee. Account number referenced in the Grant Purpose is used internally by the charity for record-keeping purposes.,6/9/22,394824,84-0385934
2706719,Village Enterprise Fund,"751 Laurel Street, PMB #222  , San Carlos, CA 94070",Cancelled,Kelsey Freeman,No,Single,"50,000.00",0.00,USD,12/27/17,12/27/17,,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Unrestricted gift.,,,285851,22-2852248
9536722,Beloved in Christ Gallery,"511 N. Highway 281 Marble Falls, TX 78654",Payment Cleared,,Yes,Single,"500,000.00",0.00,USD,9/3/24,9/3/24,9/12/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,General support. Recommended by the Beloved in Christ Fund.,The grantee is a Private Operating Foundation that has signed an affidavit prepared by legal.,9/12/24,493783,87-4045476
5951380,Pine Cove Inc.,"P.O. Box 9000  , Tyler, TX 75711-9000",Payment Cleared,,Yes,Single,"600,000.00",0.00,USD,10/25/21,10/26/21,10/28/21,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,"Capital campaign for Pine Cove Springs, Toccoa, GA",,10/28/21,369596,75-1254353
3723434,Austin Disaster Relief Network,"P.O. Box 15424  , Austin, TX 78761-5424",Payment Cleared,Daniel Geraci,No,Single,"125,000.00",0.00,USD,7/9/19,7/9/19,7/15/19,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Unrestricted gift.,,7/15/19,310170,26-4789907
3723435,He Touched Me Ministries,"P.O. Box 13832  , Maumelle, AR 72113",Payment Cleared,Mayaba Choongo,No,Single,"10,000.00",0.00,USD,7/9/19,7/9/19,7/18/19,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Unrestricted gift.,,7/18/19,310166,30-0642828
6414031,Bible Thinker Ltd,"PO Box 39  , Bellflower, CA 90707",Payment Cleared,,Yes,Single,"25,000.00",0.00,USD,3/4/22,3/5/22,3/14/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Unrestricted gift,,3/22/22,92669,85-0908038
5205105,Young Life,"P.O. Box 70065  , Prescott, AZ 86304-7065",Payment Cleared,Kurt Cotter,Yes,Single,"15,000.00",0.00,USD,1/25/21,1/25/21,1/28/21,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,"Gift to support YL Marble Falls, TX170",ID number referenced in the grant purpose is used internally by the charity for record-keeping purposes.,1/28/21,351225,84-0385934
3586938,"Mountain Metro Church, Inc.","2550 Hanover Street  , Palo Alto, CA 94303-1115",Payment Cleared,,No,Single,"5,000,000.00",0.00,USD,4/16/19,4/16/19,4/18/19,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Unrestricted gift.,,4/18/19,305964,82-5259273
8841015,America Prays Inc.,"14125 W State Hwy 29 Suite B-203 #321 Liberty Hill, TX 78642",Payment Cleared,,Yes,Single,"350,000.00",0.00,USD,3/4/24,3/5/24,3/7/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support,,3/7/24,471770,82-2988585
3378326,Austin Disaster Relief Network,"P.O. Box 15424  , Austin, TX 78761-5424",Payment Cleared,Daniel Geraci,No,Single,"425,000.00",0.00,USD,1/9/19,1/9/19,1/18/19,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Unrestricted gift.,,1/18/19,301901,26-4789907
4937303,LIVING WATERS PUBLICATIONS,"9818 Arkansas St  , Bellflower, CA 90706",Payment Cleared,,Yes,Single,"15,000.00",0.00,USD,11/5/20,11/5/20,11/12/20,Beloved In Christ Fund,None,Unrestricted gift,,11/12/20,340654,27-0094016
8841019,Impact Christian Youth Camp Inc dba Camp of the Hills,"1552 CR 344 Marble Falls, TX 78654",Payment Cleared,,Yes,Single,"200,000.00",0.00,USD,3/4/24,3/5/24,3/7/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,General support. Recommended by the Beloved in Christ Fund,,3/7/24,471771,74-2614354
8841022,Friends of Casa Hogar,"410 Nevada Way Ste 280 Boulder City, NV 89005",Payment Cleared,,Yes,Single,"75,000.00",0.00,USD,3/4/24,3/5/24,3/11/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support,,3/11/24,472191,47-1279563
4454755,Austin Disaster Relief Network,"P.O. Box 15424  , Austin, TX 78761-5424",Payment Cleared,Daniel Geraci,No,Single,"35,000.00",0.00,USD,4/20/20,4/20/20,4/28/20,Beloved In Christ Fund and Mr. Lewis Karl Cirne,In Recognition of Beloved in Christ Foundation,Unrestricted gift,,4/28/20,329207,26-4789907
7487741,Faith Academy of Marble Falls,"P.O. Box 1240 , Marble Falls, TX 78654",Payment Cleared,,Yes,Single,"110,000.00",0.00,USD,2/9/23,2/10/23,2/16/23,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Unrestricted gift. Recommended by the Beloved in Christ Fund.,,2/16/23,422867,74-2888658
4944027,Wildland Firefighter Foundation,"2049 W Airport Way  , Boise, ID 83705",Payment Cleared,,Yes,Single,"8,000.00",0.00,USD,11/9/20,11/9/20,11/11/20,Beloved In Christ Fund,None,Unrestricted gift,,11/16/20,53328,93-1266991
4944028,Feed the Mass,"742 SW Vista Avenue, Apt 2  , Portland, OR 97205",Payment Cleared,,Yes,Single,"8,000.00",0.00,USD,11/9/20,11/9/20,11/23/20,Beloved In Christ Fund,None,Unrestricted gift,,12/8/20,54168,81-1208403
6315119,Burnet County FFA &amp; 4H Livestock Show Association,"P.O. Box 1074  , Burnet, TX 78611",Payment Cleared,,Yes,Single,"30,000.00",0.00,USD,2/1/22,2/2/22,2/8/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Unrestricted gift,,2/8/22,384173,74-2073867
9251953,Highland Lakes Crisis Network,"1000 Ridge Point Dr Marble Falls, TX 78654",Payment Cleared,,Yes,Single,"100,000.00",0.00,USD,6/18/24,6/18/24,6/24/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,General support. Recommended by the Beloved in Christ Fund.,,6/24/24,485286,83-2515465
3928012,Pine Cove Inc.,"P.O. Box 9000  , Tyler, TX 75711-9000",Payment Cleared,Susan Andreone,No,Single,"300,000.00",0.00,USD,10/1/19,10/1/19,10/9/19,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Unrestricted gift.,,10/9/19,313455,75-1254353
6392212,TexARTS,"2300 Lohman's Spur Suite 160 , Austin, TX 78734",Payment Cleared,,Yes,Single,"10,000.00",0.00,USD,2/24/22,2/25/22,3/3/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Unrestricted gift. Recommended by the Beloved in Christ Fund.,,3/3/22,385829,86-1150456
9161562,Joseph's Hammer,"P.O. Box 7960 Horseshoe Bay, TX 78657",Payment Cleared,,Yes,Single,"75,000.00",0.00,USD,5/24/24,5/24/24,6/6/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support. Recommended by the Beloved in Christ Fund.,,6/6/24,483190,82-4960146
9161563,Phoenix Center &amp; Camp Phoenix,"119 Avenue G  , Marble Falls, TX 78654",Payment Cleared,,Yes,Single,"25,000.00",0.00,USD,5/24/24,5/24/24,6/13/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most. Recommended by the Beloved in Christ Fund,,6/13/24,482767,26-0310507
9161564,United in Crisis Inc.,"PO Box 275 Leander, TX 78646",Payment Cleared,,Yes,Single,"100,000.00",0.00,USD,5/24/24,5/24/24,5/30/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support. Recommended by the Beloved in Christ Fund.,,5/30/24,482419,92-3622073
9161565,Village Enterprise Fund,"751 Laurel Street, PMB #222  , San Carlos, CA 94070",Payment Cleared,,Yes,Single,"25,000.00",0.00,USD,5/24/24,5/24/24,5/30/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,General support,,5/30/24,482411,22-2852248
9161566,Camp Agape,"PO Box 1484 Marble Falls, TX 78654",Payment Cleared,,Yes,Single,"25,000.00",0.00,USD,5/24/24,5/24/24,6/6/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support. Recommended by the Beloved in Christ Fund.,,6/6/24,482420,74-2963173
9161567,CHAMPION MINISTRIES INC.,"P.O. BOX 1323  , CASTLE ROCK, CO 80104-1323",Payment Cleared,,Yes,Single,"200,000.00",0.00,USD,5/24/24,5/24/24,5/30/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support,,5/30/24,482415,84-1341326
9161568,"Mountain Metro Church, Inc.","855 West Lake Blvd. Tahoe City, CA 96145",Payment Cleared,,Yes,Single,"95,000.00",0.00,USD,5/24/24,5/24/24,5/30/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support,,5/30/24,482412,82-5259273
9161569,Messianic Vision Inc.,"P.O. Box 39222 Charlotte, NC 28278",Payment Cleared,,Yes,Single,"450,000.00",0.00,USD,5/24/24,5/24/24,6/4/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support. Recommended by the Beloved in Christ Fund.,,6/4/24,482765,52-1081247
7210236,World Evangelical Alliance,"PO Box 7099  , Deerfield, IL 60015",Payment Cleared,Dr. Oboletswe Matlhaope,Yes,Single,"50,000.00",0.00,USD,11/15/22,11/16/22,11/29/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,In support of Association of Evangelicals in Africa,,11/29/22,408956,23-7254928
3745152,Faith Academy of Marble Falls,"P.O. Box 1240 , Marble Falls, TX 78654",Payment Cleared,Stuart Nunnally,No,Single,"250,000.00",0.00,USD,7/14/19,7/14/19,7/18/19,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Unrestricted gift.,,7/18/19,310427,74-2888658
9161570,Pine Cove Inc.,"P.O. Box 9000 Tyler, TX 75711",Payment Cleared,,Yes,Single,"250,000.00",0.00,USD,5/24/24,5/24/24,5/30/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support. Recommended by the Beloved in Christ Fund.,,5/30/24,482413,75-1254353
9161574,Westside Christian Academy,"23096 Center Ridge Rd Westlake, OH 44145",Payment Cleared,,Yes,Single,"10,000.00",0.00,USD,5/24/24,5/24/24,6/7/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,General support. Recommended by the Beloved in Christ Fund,,6/7/24,482771,34-1812215
6012029,Menlo Park Presbyterian Church,"950 Santa Cruz Avenue Menlo Park, CA 94025",Payment Cleared,,Yes,Single,"50,000.00",0.00,USD,11/17/21,11/18/21,11/30/21,Beloved In Christ Fund,None,Unrestricted gift,,11/30/21,371831,94-1167435
6012031,"World Vision, Inc.","P.O. Box 9716  , Federal Way, WA 98063",Payment Cleared,,Yes,Single,"50,000.00",0.00,USD,11/17/21,11/18/21,11/30/21,Beloved In Christ Fund,None,Unrestricted gift. Recommended by the Beloved in Christ Fund,,12/3/21,81022,95-1922279
7210237,America Prays Inc.,"14125 W State Hwy 29 Suite B-203 #321 Liberty Hill, TX 78642",Payment Cleared,,Yes,Single,"75,000.00",0.00,USD,11/15/22,11/16/22,11/21/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Unrestricted gift,,11/21/22,408094,82-2988585
7234716,Friends of Casa Hogar,"410 Nevada Way Ste 280 Boulder City, NV 89005",Payment Cleared,,Yes,Single,"50,000.00",0.00,USD,11/17/22,11/18/22,11/23/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Supporting Instituto Victoria y Libertad,Instituto Victoria y Libertad is run by the grantee.,11/30/22,109831,47-1279563
8774306,Africa New Life Ministries International,"7405 SW Tech Center Drive, #144  , Portland, OR 97223",Payment Cleared,,Yes,Single,"400,000.00",0.00,USD,2/9/24,2/10/24,2/15/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most. Recommended by the Beloved in Christ Fund.,,2/15/24,469491,48-1291935
8774307,Faith Academy of Marble Falls,"P.O. Box 1240 , Marble Falls, TX 78654",Payment Cleared,Ms. Amy Lynn Payne,Yes,Single,"400,000.00",0.00,USD,2/9/24,2/10/24,2/15/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Capital campaign. Recommended by the Beloved in Christ Fund. Donor note: Year 3 of our 5-year commitment  initiated in 2022.,,2/15/24,469492,74-2888658
6012034,Freedom Generation Church,"P.O. Box 1044 , Spanaway, WA 98387",Payment Cleared,,Yes,Single,"75,000.00",0.00,USD,11/17/21,11/18/21,11/23/21,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Donation for Dean Braxton Ministries,Dean Braxton Ministries is fiscally sponsored by Freedom Generation Church.,11/23/21,371951,75-3094503
7210246,Young Life,"P.O. Box 520 Colorado Springs, CO 80901",Payment Cleared,,Yes,Single,"425,000.00",0.00,USD,11/15/22,11/16/22,11/21/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Support for Latin American/Caribbean (LAC) University programs (#XD227),ID number referenced in the grant purpose is used internally by the charity for record-keeping purposes.,11/21/22,408270,84-0385934
7210247,Pine Cove Inc.,"P.O. Box 9000 Tyler, TX 75711",Payment Cleared,,Yes,Single,"200,000.00",0.00,USD,11/15/22,11/16/22,11/29/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Unrestricted gift. Recommended by the Beloved in Christ Fund,,11/29/22,408299,75-1254353
9979010,Zinduka Arise Afrika Mission Inc,"1601 W Memorial Rd Oklahoma City, OK 73134",Payment Cleared,,Yes,Single,"200,000.00",0.00,USD,12/17/24,12/17/24,12/26/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support. Recommended by the Beloved in Christ Fund,,12/26/24,517648,87-3930135
2659405,TexARTS,"2300 Lohman's Spur Suite 160 , Austin, TX 78734",Payment Cleared,Lauren Bohlmann,No,Single,"15,000.00",0.00,USD,12/5/17,12/5/17,12/12/17,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Unrestricted gift (donors decline all benefits).,"Confirmed, donors decline all benefits associated with this grant.",12/21/17,90,86-1150456
4496128,GC Relief,"PO Box 1595 Merrifield, VA 22116-1595",Payment Cleared,Ellen Grigsby,No,Single,"125,000.00",0.00,USD,5/8/20,5/8/20,5/13/20,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Unrestricted gift,,5/19/20,44153,23-7275342
6388314,"Mountain Metro Church, Inc.","855 West Lake Blvd. Tahoe City, CA 96145",Payment Cleared,,Yes,Single,"250,000.00",0.00,USD,2/17/22,2/18/22,2/28/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Unrestricted gift. Recommended by the Beloved in Christ Fund.,,2/28/22,385330,82-5259273
3226089,Austin Disaster Relief Network,"P.O. Box 15424  , Austin, TX 78761-5424",Cancelled,Daniel Geraci,No,Single,"325,000.00",0.00,USD,11/12/18,11/12/18,,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Program support to help launch a national disaster relief network across churches nationwide.,,,,26-4789907
3226090,Freedom Generation Church,"P.O. Box 1044 , Spanaway, WA 98387",Cancelled,,No,Single,"40,000.00",0.00,USD,11/12/18,11/12/18,,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Program Support for Middle and High School Crusade and admin. salary,Please Wire to (Fee Accepted):,,,
Bank: WELLS FARGO BANK,,,,,,,,,,,,,,,,,,,
Routing:  121000248,,,,,,,,,,,,,,,,,,,
Account Number: 7271748340,,,,,,,,,,,,,,,,,,,
"Account Name:  DEAN BRAXTON MINISTRIES,,,75-3094503",,,,,,,,,,,,,,,,,,,
8430475,Messianic Vision Inc.,"P.O. Box 39222 Charlotte, NC 28278",Payment Cleared,,Yes,Single,"450,000.00",0.00,USD,11/27/23,11/28/23,12/1/23,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,General support. Recommended by the Beloved in Christ Fund,,12/1/23,453462,52-1081247
4818929,Begin Again Foundation,"P.O. BOX 6029  , VIRGINIA BCH, VA 23456",Payment Cleared,Audrey Leishman,No,Single,"20,000.00",0.00,USD,9/12/20,9/12/20,9/29/20,Beloved In Christ Fund and Mr. Lewis Karl Cirne,In Recognition of Beloved in Christ Foundation,Unrestricted gift,,9/29/20,337875,47-5223416
2699975,Young Life,"420 N Cascade Ave  , Colorado Springs, CO 80903-3325",Payment Cleared,Brett Rodgers,No,Single,"75,000.00",0.00,USD,12/21/17,12/21/17,1/4/18,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,"$30,000.00 Haiti community center, $25,000.00 Mexico University work, $20,000.00 to Dominican Republic.",ok,1/4/18,285571,84-0385934
5683003,"Wings of Humanity, Inc.","7905 East Greenway Road, Suite 201 Scottsdale, AZ 85260",Payment Cleared,,Yes,Single,"25,000.00",0.00,USD,7/20/21,7/20/21,7/29/21,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Unrestricted gift,,7/29/21,363365,83-2179357
5683004,Africa New Life Ministries International,"7405 SW Tech Center Drive, #144  , Portland, OR 97223",Payment Cleared,Natalie Green,Yes,Single,"50,000.00",0.00,USD,7/20/21,7/20/21,7/27/21,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Donation for Dream Medical Center,Dream Medical Center is operated by the grantee.,7/27/21,363305,48-1291935
5683005,Africa New Life Ministries International,"7405 SW Tech Center Drive, #144  , Portland, OR 97223",Payment Cleared,Natalie Green,Yes,Single,"175,000.00",0.00,USD,7/20/21,7/20/21,7/27/21,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Donation for the Impact Fund,,7/27/21,363304,48-1291935
4999880,Young Life,"P.O. Box 70065  , Prescott, AZ 86304-7065",Payment Cleared,Brett Rodgers,Yes,Single,"400,000.00",0.00,USD,12/3/20,12/3/20,12/8/20,Beloved In Christ Fund and Mr. Lewis Karl Cirne,In Recognition of Beloved in Christ Foundation,YL Central/Latin America donation to support Budget XD227,Budget XD227 will support the LA (Latin America)/Caribbean University Programs.,12/8/20,344127,84-0385934
4358401,Africa New Life Ministries International,"7405 SW Tech Center Drive, #144  , Portland, OR 97223",Payment Cleared,Natalie Green,No,Single,"237,500.00",0.00,USD,3/16/20,3/16/20,3/19/20,Beloved In Christ Fund and Mr. Lewis Karl Cirne,In Recognition of Beloved in Christ Foundation,Unrestricted gift,,3/19/20,326129,48-1291935
7211775,Young Life,"P.O. Box 520 Colorado Springs, CO 80901",Payment Cleared,Zachery Rodgers,Yes,Single,"25,000.00",0.00,USD,11/15/22,11/16/22,11/21/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Support for WestLake Younglife (TX399),Area number referenced in the Grant Purpose is used internally by the charity for record-keeping purposes.,11/21/22,408269,84-0385934
4991936,"Mountain Metro Church, Inc.","855 West Lake Blvd. Tahoe City, CA 96145",Payment Cleared,,Yes,Single,"300,000.00",0.00,USD,12/1/20,12/1/20,12/8/20,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Unrestricted gift,,12/8/20,343660,82-5259273
7211776,Christian Life Church of Austin,"4700 West Gate Blvd Attn: Financial , Austin, TX 78745",Payment Cleared,,Yes,Single,"30,000.00",0.00,USD,11/15/22,11/16/22,11/22/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Unrestricted gift,,11/22/22,408312,74-2453636
